reviews,stars,date,country,status,corpus
✅ Trip Verified |  I have travelled a lot with Emirates but this time there was a very kind crew Gabriel Italian - Ukrainian with a very natural smiling radiating light. His attitude and love for his work was manifested in his kindness.,9,2023-05-20,Australia,True,travelled lot emirate time kind crew gabriel italian ukrainian natural smiling radiating light attitude love work manifested kindness
✅ Trip Verified |  Fantastic service from hostess Malek from Tunisia. Friendly and very efficient. Can see the passion for her job and love for Emirates. Lovely young lady with a great personality. Thank you.,1,2023-05-19,South Africa,True,fantastic service hostess malek tunisia friendly efficient see passion job love emirate lovely young lady great personality thank
"✅ Trip Verified |  This must be the worst food I have ever tasted on an airline trip. Apart from the protein section of the main meal, the rest were inedible! The rolls were stale, rock hard so they were either old stock from previous meals or your caterer is taking advantage. Its carbs and carbs and carbs. Can you not include something fresh like fruit or fruit salad. Really bad Emirates, I was shocked! My earphones were also faulty, I informed the hostess and she said she will tend to it in a while but she never did.",9,2023-05-18,South Africa,True,must worst food ever tasted airline trip apart protein section main meal rest inedible roll stale rock hard either old stock previous meal caterer taking advantage carbs carbs carbs include something fresh like fruit fruit salad really bad emirate shocked earphone also faulty informed hostess said tend never
"Not Verified |  I strongly recommend flying with a different airline if you have an infant. Emirates are not what they used to be and their customer care is horrific. I booked a bassinet for my baby which means booking a middle seat. I booked 3 months in advance so I had the pick of any seat, yet I checked the requirements for a bassinet and was confident I would be allowed one. Obviously for my baby to have a bassinet was more important than me having a comfortable seat so the sacrifice was made and I chose a seat with a bassinet. Upon boarding I was told my baby was too big for a bassinet. I told them she meets the height and weight requirements but they insisted she was too big. They told me if a baby is capable of reaching the bottom of the bassinet they could push out the press studs and collapse the bassinet, implying that only babies who don’t move in their sleep are able to use a bassinet. This left me in complete distress knowing I had 15 hours ahead of me with my infant on my knee on a front row middle seat. I was in a fit of tears and the flight attendant said sorry there’s nothing I can do. Our flight was at 9pm so I had already been awake all day and had no sleep the whole flight. I couldn’t eat because the fold out tray from the chair arm wouldn’t fit in front of me and my baby and the one time she was asleep my meal had two hairs in it. I was so upset I just gave them my tray back (to which they huffed at me for having to take it when they weren’t ready) and didn’t eat for the journey. I then had a 3 hour wait in Dubai before another 7 hour flight. I asked if I could change this seat and they said no the flights was full which caused me to have a panic attack and almost faint after no food or sleep for a very long time. No one attended to me except one passenger and we had to get on the plane and sit in a middle seat for another 7 hours with no sleep. There was a nice attendant on the second flight who allowed me to stand up and eat a danish while my baby slept on my chair. Honestly if I could cancel my return flight and book with another airline I would. I will never ever fly with emirates again.",4,2023-05-17,Australia,False,verified strongly recommend flying different airline infant emirate used customer care horrific booked bassinet baby mean booking middle seat booked month advance pick seat yet checked requirement bassinet confident would allowed one obviously baby bassinet important comfortable seat sacrifice made chose seat bassinet upon boarding told baby big bassinet told meet height weight requirement insisted big told baby capable reaching bottom bassinet could push press stud collapse bassinet implying baby move sleep able use bassinet left complete distress knowing hour ahead infant knee front row middle seat fit tear flight attendant said sorry nothing flight pm already awake day sleep whole flight eat fold tray chair arm fit front baby one time asleep meal two hair upset gave tray back huffed take ready eat journey hour wait dubai another hour flight asked could change seat said flight full caused panic attack almost faint food sleep long time one attended except one passenger get plane sit middle seat another hour sleep nice attendant second flight allowed stand eat danish baby slept chair honestly could cancel return flight book another airline would never ever fly emirate
"Not Verified | Unfortunately, my experience on Emirates airlines in economy class from Dubai to Paris CDG fell short of expectations. While I recognize economy class may not offer the same amenities as higher classes, I found the level of service and food to be subpar. Additionally, at Dubai airport, I was required to use an e-boarding pass, only to be informed upon arrival that a paper boarding pass was necessary, causing inconvenience. Furthermore, the air hostesses I encountered displayed a lack of professionalism and at times, seemed uninformed. Regrettably, based on this experience, I am uncertain if I would choose to fly with Emirates again.",1,2023-05-15,Australia,False,verified unfortunately experience emirate airline economy class dubai paris cdg fell short expectation recognize economy class may offer amenity higher class found level service food subpar additionally dubai airport required use e boarding pas informed upon arrival paper boarding pas necessary causing inconvenience furthermore air hostess encountered displayed lack professionalism time seemed uninformed regrettably based experience uncertain would choose fly emirate
"✅ Trip Verified |  I usually don't write reviews but it was a terrible, expensive travel experience and unfortunately my return is already booked with them. There was numerous issues. Food was terrible. Menu was badly selected like there was no balance nor properly matched dishes. It didn't taste good either. Snacks were bad too. In both my flights, from London to Dubai and Dubai to Phuket I had same issues with the seat. First seats are low quality shakes wiggles a lot and offers low comfort. Only good thing was leg space. In both flights infotainment system was broken. Cabin crew tried numerous resets which took 30mins each. On the 4th reset both times it worked but then suddenly while watching it stopped working again. They didn't even offer another seat and there was available options. This is crazy! Absolutely worse service and customer support ever. They have no vegetarian option. They only had Indian vegetarian option which is completely different and tailored for Indian cuisine. I would expect them to just change the main dish on the regular meal right but no! They brought vegetarian meal long before everyone else but didn't offer a drink. Cabin crew is always busy at the back and hard to get anything. They didn't offer socks, travel package. Just blanket and small pillow. I did fly with etihad, Quatar airways and Turkish airlines. Emirates was the worst. Turkish airlines offers the best food and customer service. I will never fly with Emirates. Lead cabin crew had no English and wifi is not free as they advertise.",1,2023-05-13,United Kingdom,True,usually write review terrible expensive travel experience unfortunately return already booked numerous issue food terrible menu badly selected like balance properly matched dish taste good either snack bad flight london dubai dubai phuket issue seat first seat low quality shake wiggle lot offer low comfort good thing leg space flight infotainment system broken cabin crew tried numerous reset took min th reset time worked suddenly watching stopped working even offer another seat available option crazy absolutely worse service customer support ever vegetarian option indian vegetarian option completely different tailored indian cuisine would expect change main dish regular meal right brought vegetarian meal long everyone else offer drink cabin crew always busy back hard get anything offer sock travel package blanket small pillow fly etihad quatar airway turkish airline emirate worst turkish airline offer best food customer service never fly emirate lead cabin crew english wifi free advertise
"Not Verified |  Due to winter storm in Chicago, they cancelled flight from Kochi to Dubai and Dubai to Chicago. The winter storm issue was with the second flight. But they cancelled first flight because they don't want us to stay in Dubai because it will cost them accommodations and food. They took  Americans because they have to and canceled our boarding pass after reaching gate and gave back our checked luggage. There were few passengers who had same problem because they told us to stay in our homes and didn't even have new flight to travel the following day. After endless number of calls, we got refund and booked Qatar airways with the same amount but as we booked the previous day,the ticket charge costed 1 lakh something more. But we paid because as it was urgent travelling for us. From that moment onwards we decided not to travel with Emirates. Will never forget the incident and crew was worst.",10,2023-05-13,India,False,verified due winter storm chicago cancelled flight kochi dubai dubai chicago winter storm issue second flight cancelled first flight want u stay dubai cost accommodation food took american canceled boarding pas reaching gate gave back checked luggage passenger problem told u stay home even new flight travel following day endless number call got refund booked qatar airway amount booked previous day ticket charge costed lakh something paid urgent travelling u moment onwards decided travel emirate never forget incident crew worst
"✅ Trip Verified |  I recently flew with Emirates from Sydney to Prague, via Dubai. The flights between Sydney and Dubai were in the new Premium Economy Class, sadly not yet available between Dubai and Prague. The economy class legs of the journey were satisfactory given they were only 6 hours in duration. However the Premium Economy flights were definitely a significant improvement, and in my opinion well worth the extra expense. Bright cabin with wide comfortable seats, excellent service, improved food quality and presentation and the bathrooms in a different league from the economy class product. In every way using Premium Economy class greatly improved my travel experience and turned the long journey into something enjoyable, rather than an endurance test. My hope is that this product can be rolled out to more routes in the near future. Highly recommend for those like myself who dread the long journey from Australia to Europe.",5,2023-05-11,Australia,True,recently flew emirate sydney prague via dubai flight sydney dubai new premium economy class sadly yet available dubai prague economy class leg journey satisfactory given hour duration however premium economy flight definitely significant improvement opinion well worth extra expense bright cabin wide comfortable seat excellent service improved food quality presentation bathroom different league economy class product every way using premium economy class greatly improved travel experience turned long journey something enjoyable rather endurance test hope product rolled route near future highly recommend like dread long journey australia europe
"✅ Trip Verified |  My wife travelled on 6th may to Cochin to Auckland via Dubai. In checkin counter, they weighed even laptop bag also and she faced to pay around 27500INR for extra weight and spent around more than 2 hours in the checkin counter. Even if its as per the guidelines of airline this is the first experience we faced such a value less service. We travelled several air lines including low budget, they will not add the laptop in luggage weight due to their dignity. We saw number of persons facing the same. We didn't expected this type squeeze of money from Emirates",10,2023-05-07,India,True,wife travelled th may cochin auckland via dubai checkin counter weighed even laptop bag also faced pay around inr extra weight spent around hour checkin counter even per guideline airline first experience faced value le service travelled several air line including low budget add laptop luggage weight due dignity saw number person facing expected type squeeze money emirate
"✅ Trip Verified | Emirates has been the worst airline to deal with in terms of customer service. My mother travelled from Mumbai to Houston with a bag below maximum weight. In spite of that, the bag came with a wheel torn off. When we reported at the airline service desk, they took pictures and assured us that it would be processed very quickly. This was on March 25th. As of May 3rd, nothing! We called the call centers, multiple numbers, got handed around from one department to another who finally said, keep emailing as no one at the call center or baggage services number can help. Spoke to a supervisor from baggage services and all she could say was, please send the email to claims. I cannot help! Why is it called baggage services then!! My mom flies back in a few days and we are being forced to buy a new bag for her while waiting for Emirates to respond to a simple damaged bag claim! Such a hassle if anything goes wrong.",1,2023-05-05,India,True,emirate worst airline deal term customer service mother travelled mumbai houston bag maximum weight spite bag came wheel torn reported airline service desk took picture assured u would processed quickly march th may rd nothing called call center multiple number got handed around one department another finally said keep emailing one call center baggage service number help spoke supervisor baggage service could say please send email claim cannot help called baggage service mom fly back day forced buy new bag waiting emirate respond simple damaged bag claim hassle anything go wrong
"✅ Trip Verified |  Very disappointed when I approached the stewardess, (who was talking and laughing with a colleague) and asked for a red wine. She responded by saying, ‘it will be easier if you just go and ask at the kitchen at the back! Not the service you expect from Emirates.",7,2023-05-03,United Kingdom,True,disappointed approached stewardess talking laughing colleague asked red wine responded saying easier go ask kitchen back service expect emirate
✅ Trip Verified |  Flight crew prevented passengers from using the restroom 1 hr prior to landing. Very uncomfortable situation when there was no warning whatsoever. The seats are old and the monitors wobble when in flight. The food was bad and the other passengers didn't finish their meals. Never flying with them again,10,2023-05-03,United States,True,flight crew prevented passenger using restroom hr prior landing uncomfortable situation warning whatsoever seat old monitor wobble flight food bad passenger finish meal never flying
"✅ Trip Verified |  The quality is super too low. We lost one piece of an airpod at an Emirates EK354 bound to Singapore at 3.30AM local time. once everyone get off the plane, we inform the cabin crew that we lost which means that we seek their assistance to help find it. One cabin crew told “oh it would be so hard to find” without helping us at all, just standing and staring. One flight manager help us instead to open the seat cover and finally we found it. Emirates is overrated for everything. Food taste was so bland, quality of the meat is very mediocre. Cabin crew issuper unfriendly. Seat is not comfortable we cant even sleep properly despite its an A380 (compared to Qantas and SQ).",1,2023-05-03,Indonesia,True,quality super low lost one piece airpod emirate ek bound singapore local time everyone get plane inform cabin crew lost mean seek assistance help find one cabin crew told oh would hard find without helping u standing staring one flight manager help u instead open seat cover finally found emirate overrated everything food taste bland quality meat mediocre cabin crew issuper unfriendly seat comfortable cant even sleep properly despite compared qantas sq
"Not Verified |  On 22 February, I was travelling in Business Class with my mother who was in a wheelchair on EK75. Check-in was smooth and hassle-free. Then, they took us to a dedicated Lounge for Special Handling which was a miserable and gloomy empty boarding lounge. As there was a Costa outlet, we wanted to have a coffee. The outlet was unstaffed and when we asked the dnata staff, she said that the outlet was closed and will remain closed. We were then taken to the boarding lounge. The boarding was done by self-boarding machines gantries. It took 30 seconds per passenger to scan the boarding pass prior to entering the lounge. The lounge was overcrowded. We waited for 50 minutes inside the boarding lounge without any announcement, nor anything on the screen. No information, no explanation for the delay. The ground handling was worse than a low-cost or a charter flight. a disgrace!",10,2023-05-02,United Arab Emirates,False,verified february travelling business class mother wheelchair ek check smooth hassle free took u dedicated lounge special handling miserable gloomy empty boarding lounge costa outlet wanted coffee outlet unstaffed asked dnata staff said outlet closed remain closed taken boarding lounge boarding done self boarding machine gantry took second per passenger scan boarding pas prior entering lounge lounge overcrowded waited minute inside boarding lounge without announcement anything screen information explanation delay ground handling worse low cost charter flight disgrace
"Not Verified |  A really good flight today on a long 16 hours and 40 minute flight, from AKL to DBX.  Very friendly, attentive crew. Got a good 6+ hours sleep. This was a new plane and everything was spotless and new looking. Toilet was clean. Food tasty and plenty of it with lots of drink and snack runs in between. Plenty of legroom, me being 1.8 metres tall. Entertainment is vast. If there is one criticism, it’s that the seats are quite hard for the length of the flight. A bit more padding would be welcome. All in all a very good flight.",8,2023-05-01,New Zealand,False,verified really good flight today long hour minute flight akl dbx friendly attentive crew got good hour sleep new plane everything spotless new looking toilet clean food tasty plenty lot drink snack run plenty legroom metre tall entertainment vast one criticism seat quite hard length flight bit padding would welcome good flight
"✅ Trip Verified |  Check-in was easy at ICN but with a disappointing lounge situation, Emirates does not own a lounge at ICN. Inflight service was generally great although business class was quite full. Connection in Dubai was also not problematic; security for connecting passengers was fast-flowing and shopping and restaurants were open. Second flight was on a B777-300 but similar levels of comfort and service was  for business class. The business class seats could be a bit narrow for some people (including myself), the in-flight service could experience delays as too many business class passengers are waiting to be served, the transit lounge at Dubai tend to be overcrowded and the in-flight Internet offering is far from satisfactory. In my case, the in-flight Internet could be purchased at $19,99 for a 10-hour flight (excluding take-off and landing the Internet would only be provided for ~8 hours at most) and streaming would still be blocked.",1,2023-04-24,South Korea,True,check easy icn disappointing lounge situation emirate lounge icn inflight service generally great although business class quite full connection dubai also problematic security connecting passenger fast flowing shopping restaurant open second flight b similar level comfort service business class business class seat could bit narrow people including flight service could experience delay many business class passenger waiting served transit lounge dubai tend overcrowded flight internet offering far satisfactory case flight internet could purchased hour flight excluding take landing internet would provided hour streaming would still blocked
"✅ Trip Verified |  A great airline with nice equipment and infrastructure, but its service (especially the ethnic flight attendants assigned to the airline's Korea service) could show some improvement. Slow service with some of the requests not honored as submitted (e.g., red wine given although white was requested), and felt like the flight attendants were not showing high levels of hospitality, on par with Emirates' reputation. Apart from this, great food and beverages selection and nice IFE system. Maybe the in-flight Internet could be revamped (price would be $19.99 for an 8-hour flight but would still block most high-bandwidth uses including streaming).",1,2023-04-24,South Korea,True,great airline nice equipment infrastructure service especially ethnic flight attendant assigned airline korea service could show improvement slow service request honored submitted e g red wine given although white requested felt like flight attendant showing high level hospitality par emirate reputation apart great food beverage selection nice ife system maybe flight internet could revamped price would hour flight would still block high bandwidth us including streaming
"✅ Trip Verified |  Mauritius to Dubai. Check-in was easy and also enjoyed priority immigration and security. Emirates uses the Air Mauritius lounge, and the lounge offered better than expected services. Inflight the flight attendants seemed to treat passengers with genuine hospitality: for the first time, felt that the bar at the back of business class cabin was a good place to relax. The food was great and good wine selections. The business class seats could be a bit narrow for some people (including myself), and the in-flight Internet offering is far from satisfactory. In-flight Internet could be purchased at $16.99 for a 6-hour flight (excluding take-off and landing the Internet would only be provided for ~4 hours at most) and streaming would still be blocked.",5,2023-04-24,South Korea,True,mauritius dubai check easy also enjoyed priority immigration security emirate us air mauritius lounge lounge offered better expected service inflight flight attendant seemed treat passenger genuine hospitality first time felt bar back business class cabin good place relax food great good wine selection business class seat could bit narrow people including flight internet offering far satisfactory flight internet could purchased hour flight excluding take landing internet would provided hour streaming would still blocked
Not Verified |  What a terrible first time flight with this airline in old 2x3x2 seating in business class on both flights and flight attendants on the first running around very unorganised and bad food which was inedible. The whole meal is served on a tray. On the Mumbai to Johannesburg after take off crew passed out mattress tops and turned of lights and there was no service as their menu mentioned. Breakfast was served very quickly before landing. This Airline needs to learn about service of Singapore airlines and we would not fly with them again.,5,2023-04-23,Australia,False,verified terrible first time flight airline old x x seating business class flight flight attendant first running around unorganised bad food inedible whole meal served tray mumbai johannesburg take crew passed mattress top turned light service menu mentioned breakfast served quickly landing airline need learn service singapore airline would fly
"✅ Trip Verified |  Beware booking an Emirates codeshare. I am a current silver member and have booked a flight to Tashkent (Uzbekistan) from Cairo. As Emirates doesn't service Tashkent I was booked on a Fly Dubai (code share) instead. Little did I realise that this (slight) change meant that I do not qualify for lounge access. I, after a few misrepresntations and confusing messages, was advised that I needed to be a gold member to qualify. A transit time of over five hours didn't make that experience very pleasant. This little known fact was never mentioned anywhere during my online booking process. So, beware booking a code share with Emirates, there are strings attached.",1,2023-04-23,Australia,True,beware booking emirate codeshare current silver member booked flight tashkent uzbekistan cairo emirate service tashkent booked fly dubai code share instead little realise slight change meant qualify lounge access misrepresntations confusing message advised needed gold member qualify transit time five hour make experience pleasant little known fact never mentioned anywhere online booking process beware booking code share emirate string attached
"Not Verified |  Arriving at Sydney to fly back to the UK with Emirates we joined the ‘Premier Economy Online Checked-in’ queue expecting to quickly go to bag drop and then on to security but instead we soon found that this queue was three times longer than any others. Business/First class was short and the queue for those who’d not checked in at all was barely longer - only the checked-in passengers appeared to be stuck in a 45 minute queue. I tried to ask a member of the check-in staff if we were in the right queue and she just curtly told me yes, I was, without even asking or understanding our passenger class, so basically just a blatant lie to my face. We haven’t actually reached the aircraft yet but already know that we won’t be travelling with Emirates again any time soon.",1,2023-04-22,Australia,False,verified arriving sydney fly back uk emirate joined premier economy online checked queue expecting quickly go bag drop security instead soon found queue three time longer others business first class short queue checked barely longer checked passenger appeared stuck minute queue tried ask member check staff right queue curtly told yes without even asking understanding passenger class basically blatant lie face actually reached aircraft yet already know travelling emirate time soon
"✅ Trip Verified |  Due to my physical condition, I fly in Business and always request wheelchair assistance. Emirates treatment and service on my Delhi/Barcelona flight (April 3rd) has been horrible. On the first flight EK 513 from Delhi to Dubai, I notified my situation and asked to the crew that, since the connection time to my flight to Barcelona was 1 hour 55 minutes, they would check that I was picked up from the plane quickly. The cabin staff told me ""don't worry"". Upon arrival they told me that I had to wait because there was no finger but stairs. After a while and seeing how nervous I was getting, a first class attendant approached me and told me that she would take my luggage and help me down the stairs because if I didn't take the bus on the runway, I wouldn't make it to the flight to Barcelona. On the bus there was a person in an Emirates uniform who I asked if she could help me when I got to the terminal to locate a wheelchair because he had very short connection time, he refused! Upon arrival at the terminal there were no wheelchairs, I made it with difficulty to the wheelchair request point and, from there they had me getting on and off several buggies and, luckily, the driver of the last buggy helped me with the luggage to Arrive at the plane after the closing time of the flight. How is it possible that Emirates have not foreseen all this when, the user, requests this help service at the time of purchasing the ticket, therefore, sufficiently in advance? How did they not notify the terminal from the plane that I was arriving with special needs so that someone with a wheelchair or buggy? It is a shame.",10,2023-04-07,Spain,True,due physical condition fly business always request wheelchair assistance emirate treatment service delhi barcelona flight april rd horrible first flight ek delhi dubai notified situation asked crew since connection time flight barcelona hour minute would check picked plane quickly cabin staff told worry upon arrival told wait finger stair seeing nervous getting first class attendant approached told would take luggage help stair take bus runway make flight barcelona bus person emirate uniform asked could help got terminal locate wheelchair short connection time refused upon arrival terminal wheelchair made difficulty wheelchair request point getting several buggy luckily driver last buggy helped luggage arrive plane closing time flight possible emirate foreseen user request help service time purchasing ticket therefore sufficiently advance notify terminal plane arriving special need someone wheelchair buggy shame
"✅ Trip Verified | 
I remember that we were very satisfied with this airline until a few years ago. But now it has been 3 times that we are very dissatisfied with the quality of food and the number of times served on a long flight! Why should we feel hungry on such a long flight and when we asked for food, they only give a small packet of crackers and we have to wait for several hours until it is time to serve their disgusting food? It was not like that before, that's why we surprised!",5,2023-04-04,Australia,True,remember satisfied airline year ago time dissatisfied quality food number time served long flight feel hungry long flight asked food give small packet cracker wait several hour time serve disgusting food like surprised
"Not Verified |  I was pleasantly surprised by level of service and experience on this flight. Everything went smooth, food was very tasty, great choices of dishes and beverages. Overall, staff was very helpful always trying to accommodate the customer needs",3,2023-04-02,Poland,False,verified pleasantly surprised level service experience flight everything went smooth food tasty great choice dish beverage overall staff helpful always trying accommodate customer need
"✅ Trip Verified |  My son had vomited on a flight where my partner had left his seat to request assistance. He had gone to the adjoining cabin where he was ignored. My partner then spoke with an attendant, who started serving drinks/ meal in our cabin, who came to assess the situation and then continued to serve drinks and ignore us. From my seat, I had tried to call out to another FA, who also was serving drinks/ meals in our cabin, however did not acknowledge us. I raised my voice to attract attention to no avail. Another attendant who walked past, I had shouted for assistance, who stopped and provided help. Both the other FAs on separate occasions when approaching to serve us, had apologised and began to excuse their busy schedule but was unable to advise why they did not call for additional assistance. I spoke to a senior attendant, who apologised and advised the approach taken is not protocol and should not have happened.",4,2023-04-02,United Kingdom,True,son vomited flight partner left seat request assistance gone adjoining cabin ignored partner spoke attendant started serving drink meal cabin came ass situation continued serve drink ignore u seat tried call another fa also serving drink meal cabin however acknowledge u raised voice attract attention avail another attendant walked past shouted assistance stopped provided help fa separate occasion approaching serve u apologised began excuse busy schedule unable advise call additional assistance spoke senior attendant apologised advised approach taken protocol happened
"✅ Trip Verified |  So we paid £4K for 4 tickets to be upgraded to business class, the family wanted to try it out so I thought let’s do it. We checked in at the business class dedicated desk and were advised by the Emirates staff to proceed to gate 7 where we will find the lounge. Hand tickets over and told you don’t have access, no explanation just handed back by some power enjoying jobs worth with no options offered. I was stunned. Checked Emirates website and it clearly states our class of travel has lounge access. This is very frustrating and an underhanded approach from Emirates. Turns out this is correct, but why on earth don’t you train staff to explain this or clearly print on the ticket / emailed ticket / purchase confirmation. This must cause so many issues at the airport for people. You buy business class tickets you always get the lounge - so I thought. A very poor decision on Emirates behalf if you ask me. What a disappointment.",3,2023-04-01,United Kingdom,True,paid k ticket upgraded business class family wanted try thought let checked business class dedicated desk advised emirate staff proceed gate find lounge hand ticket told access explanation handed back power enjoying job worth option offered stunned checked emirate website clearly state class travel lounge access frustrating underhanded approach emirate turn correct earth train staff explain clearly print ticket emailed ticket purchase confirmation must cause many issue airport people buy business class ticket always get lounge thought poor decision emirate behalf ask disappointment
"✅ Trip Verified |  Coming from Orlando on a very long flight, the plan departed 2h late and landed late, which caused missing our connection. I have travelled with 2 kids so coming from a 12h long flight and being greeted with a voucher for few meals preselected by airlines (like an apple and tomato sandwich, banana and noodle soup…things that are super unpleasant for kids to start with) super cheap offering and I have to get stuck for almost 5h on the airport with two extremely tired kids with no comfort and proper food due to airline mistake. When I asked the customer support desk to arrange for us at least a lounge or upgrade (min expected from them ), he was so rude and said this is “the best” he will offer and turned his back. So I was extremely disappointed to experience such a treatment from such an airline, they don’t take responsibility to what is their mistake and my feedback is not bothering them at all. The real Emirates service is not the one they advertise to hook you up!",3,2023-03-29,Kuwait,True,coming orlando long flight plan departed h late landed late caused missing connection travelled kid coming h long flight greeted voucher meal preselected airline like apple tomato sandwich banana noodle soup thing super unpleasant kid start super cheap offering get stuck almost h airport two extremely tired kid comfort proper food due airline mistake asked customer support desk arrange u least lounge upgrade min expected rude said best offer turned back extremely disappointed experience treatment airline take responsibility mistake feedback bothering real emirate service one advertise hook
"Not Verified |  My experience onboard Emirates was a good one. The IFE was great, food was good and so was the cabin service. The airline though sent a 777 with the old cabin from Bengaluru to Dubai, which was not so bad, but made me a bit disappointed. The next flight from Dubai to Washington DC also was served by a Boeing 777, but with the latest cabin with a new, big, modern IFE screen and a brighter cabin, which made a difference for the better. Apart from the old cabin, I found the legroom to be quite a bit lesser than what I initially thought. Perhaps I should try the Airbus A380 if I am to get a better experience. But the 777s were also equally nice, at least in Economy. Since I was flying during Covid time, I was also a tad bit disappointed over no hot towels and menu cards in Economy. Overall, I would definitely recommend this airline.",2,2023-03-25,India,False,verified experience onboard emirate good one ife great food good cabin service airline though sent old cabin bengaluru dubai bad made bit disappointed next flight dubai washington dc also served boeing latest cabin new big modern ife screen brighter cabin made difference better apart old cabin found legroom quite bit lesser initially thought perhaps try airbus get better experience also equally nice least economy since flying covid time also tad bit disappointed hot towel menu card economy overall would definitely recommend airline
"✅ Trip Verified |  I had an exceptional flight, the staff were considerate and polite. Cabin staff Aaliyah was kind and generous and showed thoughtfulness. I will definitely continue to travel with Emirates again",10,2023-03-25,South Africa,True,exceptional flight staff considerate polite cabin staff aaliyah kind generous showed thoughtfulness definitely continue travel emirate
"✅ Trip Verified |  I purchased 3 round trip tickets for my family members back in November 2022 to fly in March 2023 for approximately $2300, while I was booking I didn’t notice that tickets are non-refundable. With in a first hour after booking I decided to cancel tickets, I called the Emirates customer service and explained the situation I asked if it’s possible to cancel, they said “sure you can” , will refund you the money with in 21 business days. They canceled my tickets and never did the refund. I called they many times after asked for the money they said my tickets not refundable. They should not have cancel them then, they gave me wrong information. Would not recommend to deal with company like that.",5,2023-03-22,United States,True,purchased round trip ticket family member back november fly march approximately booking notice ticket non refundable first hour booking decided cancel ticket called emirate customer service explained situation asked possible cancel said sure refund money business day canceled ticket never refund called many time asked money said ticket refundable cancel gave wrong information would recommend deal company like
"✅ Trip Verified |  Check in at Manchester airport was fine, take off time was delayed by 40 minutes as it arrived 20 minutes late. The service has gone downhill since i last flown with them. There was no drinks services or menu cards, it was not a full flight so had the whole row of seats to myself which i utilised as a bed. The A380-800 is a great plane to fly, plenty of seat and leg room and alo very quiet. The 2nd journey was completely different, the Boeing 777-300er was old, very narrow with limited leg room, the engines were loud,t he comment ‘cattle class‘ comes to mind, there was a vietnamese couple sat next to me, the crew thought i was with them and handed me the same meal & drinks as them, luckily i wanted the same meal as them, she then realised that we were not together when i spoke and asked for a different drink. The crew seemed to lack interest. I would fly with them again but only because of their competitive price",9,2023-03-19,United Kingdom,True,check manchester airport fine take time delayed minute arrived minute late service gone downhill since last flown drink service menu card full flight whole row seat utilised bed great plane fly plenty seat leg room alo quiet nd journey completely different boeing er old narrow limited leg room engine loud comment cattle class come mind vietnamese couple sat next crew thought handed meal drink luckily wanted meal realised together spoke asked different drink crew seemed lack interest would fly competitive pric
✅ Trip Verified |  I would not have bought the Emirates tickets if I knew I was flying with Qantas. Poor seats and inflight entertainment sucks (Headset point is broken). 4hrs of boredom and food is below average. Airline staff cannot figure out fix the problem or have my seats changed. Waste of money! 800NZD for round ticket AKL to MEL. Done with Emirates and Qantas (I didn't even choose Qantas). Will stick with my fav airlines Qatar and AirNZ!,5,2023-03-17,New Zealand,True,would bought emirate ticket knew flying qantas poor seat inflight entertainment suck headset point broken hr boredom food average airline staff cannot figure fix problem seat changed waste money nzd round ticket akl mel done emirate qantas even choose qantas stick fav airline qatar airnz
"✅ Trip Verified |  Worst traveling experience in last 20 years of business and leisure traveling. They tried to force me to give my hand carry bag to luggage. To do so, they wasted my time, asked me to stand on the side and made me go and talk to lot of different people. They argue that I can not have hand carry bag and laptop bag separately. To make the situation worst another ground staff at the time of entering plane stopped me and pressurized me to board the plane with just laptop bag (which anyway going to be in my legroom).  On many occasions, I paid extra and chose Emirates for the service and comfort which seems to be a thing of a past. From now on I will never choose Emirates if I have an option.",9,2023-03-14,Australia,True,worst traveling experience last year business leisure traveling tried force give hand carry bag luggage wasted time asked stand side made go talk lot different people argue hand carry bag laptop bag separately make situation worst another ground staff time entering plane stopped pressurized board plane laptop bag anyway going legroom many occasion paid extra chose emirate service comfort seems thing past never choose emirate option
Not Verified |  This was a nightmare and the most horrible airline I’ve ever taken in my life. Unfriendly staff. Customer care is zero. Whatever I asked for wasn’t done. I needed my seat switched so the crew told me to go look for a seat. Passengers were pretty annoyed of me asking around when she should’ve done that herself to avoid this. Asked for couple things it’s either not available like (tissues) or a mask? Food is terrible. Flight was late so now I will be missing my connection.,1,2023-03-10,United States,False,verified nightmare horrible airline ever taken life unfriendly staff customer care zero whatever asked done needed seat switched crew told go look seat passenger pretty annoyed asking around done avoid asked couple thing either available like tissue mask food terrible flight late missing connection
✅ Trip Verified |  On the Emirates return flight from Kolkata there was no option to pay for extra baggage during online check in even though the Emirates website mentions that passengers should be paying for extra baggage during check in to save money. The option to do so was greyed out and unavailable. I ended up paying the equivalent to $270.00 CAD for 1 extra luggage at the Emirates counter at the airport during baggage drop off. I called Emirates to complain and the customer service said it’s because it is a connecting flight from Kolkata and that option is not available. It shouldn't matter because i paid only $100 CAD during the Air Canada check in to Dubai for a stop over on the way to Kolkata. On top of that Emirates didn't update me by email or text messages after online check in. I think Emirates has really bad customer service and I will never fly with this airline again.,8,2023-03-01,Canada,True,emirate return flight kolkata option pay extra baggage online check even though emirate website mention passenger paying extra baggage check save money option greyed unavailable ended paying equivalent cad extra luggage emirate counter airport baggage drop called emirate complain customer service said connecting flight kolkata option available matter paid cad air canada check dubai stop way kolkata top emirate update email text message online check think emirate really bad customer service never fly airline
